Rank,Player,CMP,PASS_ATT,PCT,Pass_YDS,Y/A,TD,INT,SACKS,Rush_ATT,Rush_YDS,Rush_TD,FL,G,FPTS,FPTS/G,ROST,COMP,AIR,AIR/A,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,PKT TIME,SACK,KNCK,HRRY,BLITZ,POOR,DROP,RZ ATT,RTG
49.0,Trevor Siemian (FA),86.0,153.0,56.2,724,4.7,2.0,4.0,8.0,11.0,40.0,0.0,3.0,5.0,30.9,6.2,0.0%,86.0,316,2.1,30.0,8.0,1.0,0.0,0.0,2.2,8.0,16.0,4.0,46.0,33.0,2.0,17.0,57.0
50.0,Jarrett Stidham (DEN),40.0,66.0,60.6,496,7.5,2.0,1.0,7.0,9.0,8.0,0.0,0.0,3.0,27.7,9.2,0.6%,40.0,216,3.3,16.0,8.0,4.0,3.0,1.0,2.6,7.0,8.0,3.0,18.0,12.0,2.0,6.0,59.0
51.0,Carson Wentz (KC),17.0,24.0,70.8,163,6.8,2.0,1.0,2.0,17.0,56.0,1.0,0.0,2.0,27.1,13.6,0.2%,17.0,105,4.4,6.0,1.0,0.0,0.0,0.0,2.4,2.0,1.0,0.0,6.0,6.0,1.0,3.0,50.0
52.0,Dorian Thompson-Robinson (CLE),60.0,112.0,53.6,440,3.9,1.0,4.0,6.0,14.0,65.0,0.0,0.0,8.0,26.1,3.3,0.0%,60.0,272,2.4,17.0,1.0,0.0,0.0,0.0,2.4,6.0,10.0,7.0,38.0,21.0,11.0,15.0,50.0
53.0,Tyler Huntley (FA),21.0,37.0,56.8,203,5.5,3.0,0.0,4.0,15.0,55.0,0.0,0.0,5.0,25.6,5.1,0.0%,21.0,134,3.6,10.0,1.0,0.0,0.0,0.0,2.8,4.0,1.0,0.0,11.0,7.0,4.0,7.0,80.0
54.0,P.J. Walker (FA),54.0,111.0,48.6,674,6.1,1.0,5.0,11.0,13.0,30.0,0.0,2.0,6.0,24.9,4.2,0.0%,54.0,328,3.0,25.0,11.0,4.0,3.0,1.0,2.6,11.0,20.0,7.0,29.0,32.0,6.0,11.0,42.0
55.0,Sam Darnold (MIN),28.0,46.0,60.9,297,6.5,2.0,1.0,6.0,21.0,15.0,1.0,1.0,10.0,24.3,2.4,5.8%,28.0,156,3.4,11.0,3.0,1.0,1.0,0.0,2.9,6.0,2.0,1.0,8.0,12.0,0.0,11.0,39.0
56.0,Andy Dalton (CAR),34.0,58.0,58.6,361,6.2,2.0,0.0,3.0,3.0,12.0,0.0,0.0,3.0,23.6,7.9,0.1%,34.0,254,4.4,13.0,5.0,1.0,1.0,0.0,2.2,3.0,5.0,2.0,14.0,11.0,5.0,1.0,29.0
57.0,Jacoby Brissett (NE),18.0,23.0,78.3,224,9.7,3.0,0.0,0.0,3.0,19.0,0.0,0.0,3.0,22.9,7.6,0.8%,18.0,164,7.1,9.0,4.0,1.0,1.0,0.0,2.5,0.0,2.0,0.0,2.0,1.0,1.0,8.0,94.0
58.0,C.J. Beathard (FA),40.0,53.0,75.5,349,6.6,1.0,0.0,6.0,8.0,35.0,0.0,0.0,8.0,21.5,2.7,0.0%,40.0,214,4.0,15.0,2.0,1.0,1.0,0.0,2.2,6.0,5.0,1.0,14.0,4.0,2.0,10.0,55.0
59.0,Davis Mills (HOU),18.0,39.0,46.2,173,4.4,2.0,0.0,2.0,2.0,9.0,0.0,0.0,6.0,17.9,3.0,0.1%,18.0,104,2.7,10.0,0.0,0.0,0.0,0.0,2.4,2.0,1.0,2.0,7.0,8.0,4.0,6.0,53.0
60.0,Jeff Driskel (WAS),13.0,26.0,50.0,166,6.4,2.0,2.0,3.0,7.0,33.0,0.0,0.0,1.0,15.9,15.9,0.0%,13.0,97,3.7,7.0,2.0,1.0,0.0,0.0,2.4,3.0,5.0,0.0,3.0,4.0,4.0,0.0,64.0
61.0,Tim Boyle (FA),48.0,77.0,62.3,360,4.7,1.0,4.0,9.0,4.0,5.0,0.0,0.0,3.0,14.9,5.0,0.0%,48.0,207,2.7,9.0,2.0,2.0,0.0,0.0,2.3,9.0,6.0,8.0,7.0,18.0,4.0,5.0,50.0
62.0,Jameis Winston (CLE),25.0,47.0,53.2,264,5.6,2.0,3.0,2.0,5.0,-6.0,0.0,0.0,7.0,14.9,2.1,0.7%,25.0,187,4.0,13.0,4.0,1.0,0.0,0.0,2.1,2.0,2.0,3.0,19.0,10.0,3.0,4.0,30.0
63.0,Case Keenum (HOU),34.0,53.0,64.2,291,5.5,1.0,3.0,6.0,2.0,1.0,0.0,0.0,2.0,12.8,6.4,0.0%,34.0,195,3.7,9.0,3.0,1.0,1.0,0.0,2.5,6.0,5.0,1.0,16.0,7.0,2.0,5.0,56.0
